no,location_node,destination_node,location_lat,location_lon,destination_lat,destination_lon,time
202,42445409,42423774,40.744343,-73.98304,40.738483,-73.973793,2010/2/2 8:00
203,42450025,42430356,40.775749,-73.956406,40.759583,-73.980736,2010/2/2 8:00
204,42428473,42445928,40.730118,-73.992142,40.757725,-73.974976,2010/2/2 8:01
205,42432700,1698103410,40.758621,-73.987144,40.773823,-73.870552,2010/2/2 8:01
206,42436753,42435422,40.742329,-73.980644,40.749065,-73.992371,2010/2/2 8:01
207,42449928,42428277,40.745106,-73.978485,40.754539,-73.986687,2010/2/2 8:01
208,42428014,42438038,40.769543,-73.951683,40.716251,-74.000732,2010/2/2 8:01
209,42436586,42449947,40.739635,-73.982269,40.751194,-73.973839,2010/2/2 8:01
210,42421969,42440001,40.768768,-73.981392,40.761341,-73.982971,2010/2/2 8:01
211,42443346,42436064,40.779861,-73.976936,40.721924,-74.009827,2010/2/2 8:01
212,42439416,561042204,40.772301,-73.946693,40.751949,-73.97683,2010/2/2 8:01
213,277629533,42431902,40.723396,-73.847908,40.702351,-74.011322,2010/2/2 8:01
214,42449045,42439830,40.732132,-73.993904,40.740738,-73.999908,2010/2/2 8:01
215,42436514,561042197,40.764359,-73.968369,40.750732,-73.978188,2010/2/2 8:01
216,42442961,42444049,40.760509,-73.96447,40.753761,-73.974792,2010/2/2 8:01
217,42431635,246648219,40.71804,-74.014801,40.742741,-74.007706,2010/2/2 8:01
218,42444897,42433611,40.741238,-74.005081,40.754269,-73.98925,2010/2/2 8:01
219,42445011,42430597,40.759018,-73.991966,40.751167,-74.005531,2010/2/2 8:01
220,42439440,42428003,40.749832,-73.991348,40.766384,-73.955544,2010/2/2 8:01
221,42434948,42439443,40.748947,-73.982811,40.750412,-73.991676,2010/2/2 8:01
222,42440743,42431902,40.73122,-73.982422,40.701775,-74.01133,2010/2/2 8:01
223,42432458,42439964,40.749454,-73.974258,40.753906,-73.98822,2010/2/2 8:01
224,42442957,42428385,40.758205,-73.967529,40.71117,-74.008949,2010/2/2 8:01
225,42436381,42436701,40.730991,-74.006691,40.759579,-73.973419,2010/2/2 8:01
226,42435578,246580301,40.737381,-74.004852,40.748753,-74.008224,2010/2/2 8:01
227,42439070,1692433938,40.734341,-73.994041,40.729282,-74.000931,2010/2/2 8:01
228,42445011,42428216,40.759335,-73.991875,40.743977,-73.990067,2010/2/2 8:01
229,42434142,42453613,40.728527,-73.987762,40.720051,-73.979477,2010/2/2 8:01
