begin_node,end_node_i,Other_Volume
42449971,42442961,43532
42812173,42860206,43461
42428027,42439416,43425
42447076,42455694,43401
42904206,42847895,43370
42442422,1996323622,43359
42432564,1061531757,43238
42437881,42430271,43183
42430745,42430747,43178
1061531768,42428689,43161
42447084,42430060,43160
482652239,42874694,43158
42447007,42449971,43154
42437914,42437909,43147
42431654,42431656,43033
42810479,42810477,43029
42443363,42435317,43015
42437909,42434279,43008
42926409,42876795,43000
42447060,42449985,42998
42521121,42491616,42997
42448568,1812608108,42986
42432928,42432929,42982
42437826,589100711,42900
42450044,42447166,42890
42449945,42449947,42867
42436492,42428007,42862
42429694,42428003,42854
276299054,276299053,42843
42445378,42445382,42824
42428012,42428013,42773
42428640,1061531634,42772
42442891,42436590,42740
42447030,42449982,42730
2757013684,42860247,42703
42431656,42431659,42701
42428052,589929417,42666
42447237,42442983,42665
42430135,42440829,42661
42429002,42429006,42634
42436710,42436707,42634
42445236,42445232,42599
42439099,42439096,42584
42423885,42446504,42533
42453934,42428379,42404
1773078006,42432082,42389
42432847,42432856,42384
42443363,42443361,42368
42428287,42428283,42342
2141026504,42432900,42320
42435642,42435644,42310
42844256,2034007426,42299
42427374,42439834,42270
42430394,42423674,42252
370897167,589100711,42239
42431661,42427972,42225
42439070,42446521,42204
42429971,42429970,42197
42427991,1733612459,42192
597443992,599270650,42174
42443056,42443054,42153
42443020,42454701,42136
42422026,2569923492,42118
42451018,589100232,42093
42430060,42439559,42093
42448379,42446999,42051
42428043,42428039,42038
593976795,42446668,42014
1812608108,246890579,42013
42447115,42452954,42009
42844397,42931844,41988
42429006,42429013,41982
42427504,1544809889,41966
1061531815,42428737,41926
42832512,42799103,41925
42447009,42448321,41900
247123615,42430745,41838
42497780,42497598,41836
42428447,42428444,41806
42423674,1792535231,41784
42435509,42447126,41755
42439836,42427374,41699
42428970,561035378,41680
42424137,42427970,41679
42496432,42497591,41662
42448735,42450037,41653
42447115,42438498,41637
42429342,42429340,41620
42439399,42447115,41614
42445232,42445230,41604
1544809891,481201672,41582
42428980,42428978,41550
42448701,42436586,41490
42825556,42844279,41485
42443072,42450061,41477
2779131562,42455735,41472
42432834,42432847,41461
42876764,42876760,41454
42440850,42440854,41437
42447105,42436917,41426
42435420,42430288,41421
42816214,42859920,41416
42434156,42435310,41359
42436551,42436549,41295
42428015,42428014,41266
42446398,370894980,41237
42430317,42433604,41210
42454433,42443563,41193
42453674,42433870,41170
42455643,42445037,41140
1061531608,42428601,41119
42445916,42443804,41092
246866830,246894565,41074
42440721,42428493,41059
42847895,42844397,41055
42427965,42436531,41050
42428003,42428005,40992
42449954,42446986,40986
42428661,42433567,40975
589929417,42452814,40935
42456084,42433404,40901
42432108,486868873,40880
42428010,42428012,40849
427841011,427841023,40830
42435677,42435680,40794
42447084,42450009,40762
42428493,42440721,40747
42858888,42823995,40705
42427972,42427975,40684
42438503,42450025,40680
42429703,42444884,40674
42432929,42435805,40665
42432580,42430356,40649
42433743,42426374,40589
42444884,42427504,40526
42428014,42428015,40517
42443824,42438084,40482
1061531447,42428583,40455
42446466,42447084,40451
42436917,42446466,40434
42453007,42432458,40434
42444206,42431902,40354
42439823,42435596,40285
42832462,2799469682,40264
42440459,42446991,40251
42429342,42428037,40225
42454600,42452630,40212
1996323622,42442422,40147
597444016,597444019,40142
42453674,42440313,40131
1538237264,1538237503,40115
42442948,42449954,40099
42440710,42438784,40097
42447126,42439399,40076
42447132,42435509,40066
42430279,42434807,40043
42453327,1918039880,40038
42448238,42435514,40033
42435240,42435237,39998
42456115,42449843,39972
42428746,1061531575,39947
42446987,42448813,39920
42480534,42514274,39881
482652239,42909624,39856
42836513,1904847201,39844
42439403,42448238,39833
42433408,42433404,39830
1773076778,1773078006,39827
42427996,42428003,39809
42424183,42450809,39770
42427426,42437890,39677
42452613,42453468,39666
42435250,1061531509,39643
42430390,42430394,39640
1773121034,42439236,39633
1061531815,42428746,39604
42437990,42437965,39569
42430903,42430914,39556
42447149,42447144,39541
42428980,42427139,39500
42433565,42443280,39470
42439860,42439861,39436
561035338,42428840,39421
1919595914,805771586,39410
1334569028,247074607,39409
42446991,42438889,39400
42435596,42439823,39376
42443804,42445916,39370
1061531608,1733614298,39297
42445505,1918039869,39283
42440737,42440743,39278
595473421,595464558,39231
42451695,42446668,39191
42443061,42456091,39146
42442415,42428590,39114
42436922,42456060,39108
593915255,42430643,39103
205020852,370880758,39057
2141026510,42432905,39049
42428588,42443313,39028
42429896,42429900,39017
42442584,42429827,38970
42428020,42428022,38896
2710204310,42443310,38884
42453008,42453011,38878
42442469,42443280,38816
42437890,42434270,38805
2757013627,2757013638,38802
42443336,42437384,38786
42445738,42447136,38710
42442898,42442895,38701
42429375,42439073,38694
42465234,42491625,38655
42442417,42428601,38601
370880761,42444206,38587
42437589,42452067,38560
42428814,561035334,38551
42452956,42439409,38499
42498503,42467929,38485
42434169,42444495,38485
42445011,42437368,38472
42447144,42444814,38460
42428013,42430075,38458
1919595917,42448552,38455
42449422,42443078,38439
42448707,42442889,38386
278638345,587988061,38366
42429688,42447076,38365
42446959,561042204,38332
42435645,42444960,38284
42454196,42443040,38278
42877708,482655346,38275
42445020,42452365,38271
42435301,42435295,38250
42436985,42435323,38207
42443534,42443532,38183
42450489,42433298,38174
42435671,42439984,38173
42436921,42436922,38168
42440838,42424395,38135
42442889,42448701,38134
42433834,42445569,38118
42424098,42449979,38115
1258945357,1258945651,38065
42455929,42450809,38046
42443824,42443826,38034
42440453,42440452,38032
42430135,42436761,38029
42446026,42452951,38028
42438155,42453934,38016
42440170,42440163,37989
42439952,42437654,37948
42445232,42429688,37881
42428975,42428973,37859
42439275,42435603,37857
42444495,42447154,37850
42455643,42450341,37850
42432931,42432929,37845
42448711,42456961,37813
42437451,42437445,37798
42439073,42430828,37761
1775270664,1919595924,37723
42432834,42432825,37699
1946814074,42427915,37670
42452076,42437996,37653
42437663,42444954,37649
42439567,42428012,37630
42421974,42443305,37629
451051793,42483504,37628
1064257426,42809781,37615
42433376,42456091,37532
42447166,42434169,37492
42443406,42447285,37463
42452816,42429832,37456
42437339,42437333,37441
1061531695,42428065,37423
42437425,42437423,37419
42437890,42430271,37379
276315035,276315006,37357
42439858,2141026510,37355
42431602,42443588,37355
103881940,1112485522,37339
42803578,42846208,37339
42435312,42421993,37320
42450468,42443068,37316
42436519,42436516,37278
42433567,42433565,37272
597728152,42501891,37257
42428183,42439203,37235
42446640,42452314,37230
42433269,42452598,37198
1061531731,42428689,37169
42435266,42443329,37164
42859920,42904507,37136
42453258,42439887,37111
42920467,42932888,37111
42455761,42445018,37084
42440463,42440459,37083
42450025,42439403,37052
2481865390,588455736,37015
42443332,42435269,36985
42421803,42437300,36930
42448707,42448711,36925
